Food_A,Food_B,Food_C,Type,Reason,Impact
Egg,Tomato,Broccoli,DEPENDS,Context based,neutral
Spinach,Spinach,Lemon,GOOD,Iron absorption boost,absorption
Bajra,Rice,Jowar,DEPENDS,Context based,neutral
Almonds,Milk,Bajra,DEPENDS,Context based,neutral
Fish,Lemon,Bajra,GOOD,Stable glucose,metabolic
Chickpeas,Fish,Carrot,DEPENDS,Context based,neutral
Fish,Olive Oil,Lemon,DEPENDS,Context based,neutral
Ghee,Dal,Ghee,DEPENDS,Context based,neutral
Lemon,Olive Oil,Milk,DEPENDS,Context based,neutral
Milk,Paneer,Banana,DEPENDS,Context based,neutral
Chicken,Bajra,Milk,GOOD,Stable glucose,metabolic
Curd,Chicken,Ragi,GOOD,Stable glucose,metabolic
Lemon,Tomato,Dal,DEPENDS,Context based,neutral
Dal,Curd,Orange,DEPENDS,Context based,neutral
Dal,Brown Rice,Olive Oil,GOOD,Stable glucose,metabolic
Brown Rice,Rice,Curd,DEPENDS,Context based,neutral
Spinach,Carrot,Almonds,GOOD,Vitamin A absorption,absorption
Fish,Spinach,Rice,GOOD,Stable glucose,metabolic
Sweet Potato,Ragi,Fish,GOOD,Stable glucose,metabolic
Chickpeas,Almonds,Olive Oil,DEPENDS,Context based,neutral
Peanut Butter,Almonds,Brown Rice,DEPENDS,Context based,neutral
Chickpeas,Dal,Sweet Potato,GOOD,Stable glucose,metabolic
Milk,Egg,Sweet Potato,GOOD,Stable glucose,metabolic
Quinoa,Bajra,Almonds,DEPENDS,Context based,neutral
Almonds,Tomato,Chicken,DEPENDS,Context based,neutral
Tomato,Apple,Ragi,DEPENDS,Context based,neutral
Spinach,Brown Rice,Egg,GOOD,Stable glucose,metabolic
Dal,Carrot,Milk,DEPENDS,Context based,neutral
Curd,Sweet Potato,Rice,DEPENDS,Context based,neutral
Fish,Apple,Fish,DEPENDS,Context based,neutral
Paneer,Quinoa,Chickpeas,GOOD,Stable glucose,metabolic
Egg,Egg,Tomato,DEPENDS,Context based,neutral
Dal,Peanut Butter,Sweet Potato,GOOD,Stable glucose,metabolic
Curd,Curd,Ragi,DEPENDS,Context based,neutral
Banana,Egg,Peanut Butter,DEPENDS,Context based,neutral
Broccoli,Jowar,Spinach,DEPENDS,Context based,neutral
Chickpeas,Tomato,Tomato,DEPENDS,Context based,neutral
Dal,Carrot,Broccoli,DEPENDS,Context based,neutral
Apple,Chicken,Bajra,GOOD,Stable glucose,metabolic
Fish,Apple,Orange,DEPENDS,Context based,neutral
Tomato,Olive Oil,Orange,DEPENDS,Context based,neutral
Potato,Peanut Butter,Brown Rice,DEPENDS,Context based,neutral
Paneer,Apple,Jowar,GOOD,Stable glucose,metabolic
Dal,Chicken,Orange,DEPENDS,Context based,neutral
Peanut Butter,Milk,Apple,DEPENDS,Context based,neutral
Ghee,Peanut Butter,Fish,DEPENDS,Context based,neutral
Lemon,Almonds,Ragi,DEPENDS,Context based,neutral
Paneer,Lemon,Paneer,DEPENDS,Context based,neutral
Sweet Potato,Orange,Banana,DEPENDS,Context based,neutral
Carrot,Chicken,Almonds,GOOD,Vitamin A absorption,absorption
Broccoli,Bajra,Olive Oil,DEPENDS,Context based,neutral
Lemon,Chickpeas,Tomato,DEPENDS,Context based,neutral
Jowar,Olive Oil,Curd,DEPENDS,Context based,neutral
Ghee,Ragi,Rice,DEPENDS,Context based,neutral
Bajra,Milk,Rice,DEPENDS,Context based,neutral
Rice,Banana,Peanut Butter,BAD,Heavy digestion + sugar spike,metabolic
Ragi,Egg,Almonds,GOOD,Stable glucose,metabolic
Orange,Bajra,Lemon,DEPENDS,Context based,neutral
Banana,Fish,Brown Rice,GOOD,Stable glucose,metabolic
Tomato,Lemon,Fish,DEPENDS,Context based,neutral
Ghee,Lemon,Paneer,DEPENDS,Context based,neutral
Almonds,Banana,Chicken,DEPENDS,Context based,neutral
Quinoa,Egg,Broccoli,GOOD,Stable glucose,metabolic
Lemon,Ghee,Apple,DEPENDS,Context based,neutral
Potato,Lemon,Chicken,GOOD,Stable glucose,metabolic
Peanut Butter,Carrot,Curd,GOOD,Vitamin A absorption,absorption
Jowar,Fish,Jowar,GOOD,Stable glucose,metabolic
Paneer,Banana,Sweet Potato,GOOD,Stable glucose,metabolic
Almonds,Peanut Butter,Broccoli,DEPENDS,Context based,neutral
Banana,Ghee,Fish,DEPENDS,Context based,neutral
Rice,Potato,Milk,DEPENDS,Context based,neutral
Carrot,Banana,Carrot,DEPENDS,Context based,neutral
Broccoli,Milk,Chickpeas,DEPENDS,Context based,neutral
Olive Oil,Paneer,Orange,DEPENDS,Context based,neutral
Curd,Egg,Banana,DEPENDS,Context based,neutral
Orange,Egg,Quinoa,GOOD,Stable glucose,metabolic
Milk,Broccoli,Brown Rice,DEPENDS,Context based,neutral
Ragi,Almonds,Orange,DEPENDS,Context based,neutral
Fish,Paneer,Brown Rice,GOOD,Stable glucose,metabolic
Olive Oil,Fish,Almonds,DEPENDS,Context based,neutral
Quinoa,Milk,Rice,DEPENDS,Context based,neutral
Ghee,Lemon,Peanut Butter,DEPENDS,Context based,neutral
Paneer,Banana,Potato,GOOD,Stable glucose,metabolic
Dal,Tomato,Tomato,DEPENDS,Context based,neutral
Spinach,Quinoa,Chickpeas,GOOD,Stable glucose,metabolic
Paneer,Quinoa,Chickpeas,GOOD,Stable glucose,metabolic
Curd,Bajra,Carrot,DEPENDS,Context based,neutral
Sweet Potato,Rice,Sweet Potato,DEPENDS,Context based,neutral
Bajra,Ghee,Tomato,DEPENDS,Context based,neutral
Bajra,Peanut Butter,Almonds,DEPENDS,Context based,neutral
Dal,Broccoli,Dal,DEPENDS,Context based,neutral
Carrot,Lemon,Chicken,DEPENDS,Context based,neutral
Potato,Almonds,Quinoa,DEPENDS,Context based,neutral
Almonds,Chicken,Ragi,GOOD,Stable glucose,metabolic
Ragi,Spinach,Chickpeas,GOOD,Stable glucose,metabolic
Jowar,Chicken,Ghee,GOOD,Stable glucose,metabolic
Brown Rice,Carrot,Lemon,DEPENDS,Context based,neutral
Spinach,Chickpeas,Sweet Potato,GOOD,Stable glucose,metabolic
Potato,Orange,Egg,GOOD,Stable glucose,metabolic
Apple,Brown Rice,Milk,DEPENDS,Context based,neutral
Ghee,Orange,Olive Oil,DEPENDS,Context based,neutral
Curd,Carrot,Paneer,DEPENDS,Context based,neutral
Bajra,Ragi,Fish,GOOD,Stable glucose,metabolic
Sweet Potato,Brown Rice,Spinach,DEPENDS,Context based,neutral
Potato,Dal,Egg,GOOD,Stable glucose,metabolic
Apple,Dal,Milk,DEPENDS,Context based,neutral
Banana,Carrot,Broccoli,DEPENDS,Context based,neutral
Lemon,Peanut Butter,Egg,DEPENDS,Context based,neutral
Paneer,Apple,Jowar,GOOD,Stable glucose,metabolic
Curd,Jowar,Orange,DEPENDS,Context based,neutral
Curd,Curd,Chicken,DEPENDS,Context based,neutral
Lemon,Chicken,Apple,DEPENDS,Context based,neutral
Sweet Potato,Egg,Jowar,GOOD,Stable glucose,metabolic
Ghee,Broccoli,Banana,DEPENDS,Context based,neutral
Chickpeas,Curd,Brown Rice,GOOD,Stable glucose,metabolic
Tomato,Chickpeas,Orange,DEPENDS,Context based,neutral
Brown Rice,Spinach,Broccoli,DEPENDS,Context based,neutral
Chicken,Fish,Chicken,DEPENDS,Context based,neutral
Spinach,Brown Rice,Curd,BAD,Calcium blocks iron,absorption
Orange,Olive Oil,Dal,DEPENDS,Context based,neutral
Dal,Apple,Rice,GOOD,Stable glucose,metabolic
Olive Oil,Peanut Butter,Orange,DEPENDS,Context based,neutral
Orange,Carrot,Sweet Potato,DEPENDS,Context based,neutral
Chickpeas,Ragi,Lemon,GOOD,Stable glucose,metabolic
Peanut Butter,Milk,Brown Rice,DEPENDS,Context based,neutral
Bajra,Olive Oil,Jowar,DEPENDS,Context based,neutral
Jowar,Chicken,Chickpeas,GOOD,Stable glucose,metabolic
Egg,Bajra,Chickpeas,GOOD,Stable glucose,metabolic
Orange,Egg,Bajra,GOOD,Stable glucose,metabolic
Peanut Butter,Carrot,Dal,GOOD,Vitamin A absorption,absorption
Brown Rice,Orange,Ghee,DEPENDS,Context based,neutral
Curd,Spinach,Sweet Potato,BAD,Calcium blocks iron,absorption
Quinoa,Apple,Chicken,GOOD,Stable glucose,metabolic
Chickpeas,Olive Oil,Peanut Butter,DEPENDS,Context based,neutral
Rice,Milk,Carrot,DEPENDS,Context based,neutral
Brown Rice,Almonds,Orange,DEPENDS,Context based,neutral
Curd,Chickpeas,Ghee,DEPENDS,Context based,neutral
Chicken,Brown Rice,Almonds,GOOD,Stable glucose,metabolic
Curd,Tomato,Apple,DEPENDS,Context based,neutral
Ghee,Carrot,Potato,GOOD,Vitamin A absorption,absorption
Almonds,Carrot,Paneer,GOOD,Vitamin A absorption,absorption
Egg,Curd,Curd,DEPENDS,Context based,neutral
Carrot,Olive Oil,Paneer,GOOD,Vitamin A absorption,absorption
Carrot,Bajra,Fish,GOOD,Stable glucose,metabolic
Chicken,Carrot,Potato,GOOD,Stable glucose,metabolic
Ragi,Rice,Peanut Butter,DEPENDS,Context based,neutral
Apple,Banana,Chicken,DEPENDS,Context based,neutral
Tomato,Chicken,Spinach,GOOD,Iron absorption boost,absorption
Peanut Butter,Curd,Spinach,BAD,Calcium blocks iron,absorption
Chickpeas,Broccoli,Broccoli,DEPENDS,Context based,neutral
Ragi,Rice,Banana,DEPENDS,Context based,neutral
Paneer,Lemon,Chickpeas,DEPENDS,Context based,neutral
Peanut Butter,Potato,Broccoli,DEPENDS,Context based,neutral
Fish,Sweet Potato,Bajra,GOOD,Stable glucose,metabolic
Olive Oil,Orange,Almonds,DEPENDS,Context based,neutral
Almonds,Lemon,Apple,DEPENDS,Context based,neutral
Curd,Quinoa,Curd,DEPENDS,Context based,neutral
Ragi,Dal,Sweet Potato,GOOD,Stable glucose,metabolic
Curd,Banana,Egg,DEPENDS,Context based,neutral
Curd,Almonds,Lemon,DEPENDS,Context based,neutral
Milk,Sweet Potato,Chickpeas,GOOD,Stable glucose,metabolic
Carrot,Egg,Ghee,GOOD,Vitamin A absorption,absorption
Chicken,Olive Oil,Ragi,GOOD,Stable glucose,metabolic
Curd,Orange,Peanut Butter,DEPENDS,Context based,neutral
Apple,Dal,Chicken,DEPENDS,Context based,neutral
Jowar,Tomato,Fish,GOOD,Stable glucose,metabolic
Fish,Chickpeas,Sweet Potato,GOOD,Stable glucose,metabolic
Spinach,Fish,Potato,GOOD,Stable glucose,metabolic
Apple,Rice,Sweet Potato,DEPENDS,Context based,neutral
Dal,Broccoli,Paneer,DEPENDS,Context based,neutral
Chickpeas,Orange,Brown Rice,GOOD,Stable glucose,metabolic
Rice,Orange,Sweet Potato,DEPENDS,Context based,neutral
Curd,Fish,Paneer,DEPENDS,Context based,neutral
Ghee,Fish,Sweet Potato,GOOD,Stable glucose,metabolic
Jowar,Spinach,Bajra,DEPENDS,Context based,neutral
Olive Oil,Orange,Quinoa,DEPENDS,Context based,neutral
Chickpeas,Orange,Carrot,DEPENDS,Context based,neutral
Dal,Quinoa,Egg,GOOD,Stable glucose,metabolic
Lemon,Jowar,Chicken,GOOD,Stable glucose,metabolic
Carrot,Lemon,Chickpeas,DEPENDS,Context based,neutral
Chickpeas,Orange,Tomato,DEPENDS,Context based,neutral
Quinoa,Chickpeas,Jowar,GOOD,Stable glucose,metabolic
Jowar,Egg,Sweet Potato,GOOD,Stable glucose,metabolic
Peanut Butter,Broccoli,Almonds,DEPENDS,Context based,neutral
Curd,Tomato,Egg,DEPENDS,Context based,neutral
Almonds,Banana,Jowar,BAD,Heavy digestion + sugar spike,metabolic
Peanut Butter,Fish,Jowar,GOOD,Stable glucose,metabolic
Almonds,Brown Rice,Apple,BAD,Heavy digestion + sugar spike,metabolic
Rice,Quinoa,Spinach,DEPENDS,Context based,neutral
Chicken,Milk,Carrot,DEPENDS,Context based,neutral
Carrot,Apple,Apple,DEPENDS,Context based,neutral
Lemon,Broccoli,Banana,DEPENDS,Context based,neutral
Spinach,Almonds,Jowar,DEPENDS,Context based,neutral
Potato,Broccoli,Peanut Butter,DEPENDS,Context based,neutral
Fish,Fish,Fish,DEPENDS,Context based,neutral
Bajra,Lemon,Carrot,DEPENDS,Context based,neutral
Sweet Potato,Bajra,Peanut Butter,DEPENDS,Context based,neutral
Almonds,Brown Rice,Orange,DEPENDS,Context based,neutral
Quinoa,Dal,Paneer,GOOD,Stable glucose,metabolic
Ghee,Broccoli,Olive Oil,DEPENDS,Context based,neutral
Brown Rice,Ragi,Lemon,DEPENDS,Context based,neutral
Orange,Fish,Curd,DEPENDS,Context based,neutral
Ragi,Fish,Almonds,GOOD,Stable glucose,metabolic
Paneer,Dal,Rice,GOOD,Stable glucose,metabolic
Broccoli,Tomato,Banana,DEPENDS,Context based,neutral
Apple,Apple,Broccoli,DEPENDS,Context based,neutral
Paneer,Banana,Olive Oil,DEPENDS,Context based,neutral
Ragi,Quinoa,Banana,DEPENDS,Context based,neutral
Carrot,Chicken,Curd,DEPENDS,Context based,neutral
Lemon,Apple,Chickpeas,DEPENDS,Context based,neutral
Fish,Milk,Egg,DEPENDS,Context based,neutral
Quinoa,Ghee,Fish,GOOD,Stable glucose,metabolic
Quinoa,Curd,Orange,DEPENDS,Context based,neutral
Quinoa,Rice,Orange,DEPENDS,Context based,neutral
Banana,Potato,Chicken,GOOD,Stable glucose,metabolic
Milk,Jowar,Sweet Potato,DEPENDS,Context based,neutral
Bajra,Chicken,Dal,GOOD,Stable glucose,metabolic
Lemon,Milk,Egg,DEPENDS,Context based,neutral
Potato,Lemon,Orange,DEPENDS,Context based,neutral
Quinoa,Spinach,Brown Rice,DEPENDS,Context based,neutral
Quinoa,Broccoli,Chicken,GOOD,Stable glucose,metabolic
Ragi,Spinach,Milk,BAD,Calcium blocks iron,absorption
Fish,Ghee,Lemon,DEPENDS,Context based,neutral
Egg,Lemon,Orange,DEPENDS,Context based,neutral
Quinoa,Almonds,Olive Oil,DEPENDS,Context based,neutral
Olive Oil,Rice,Quinoa,DEPENDS,Context based,neutral
Banana,Sweet Potato,Quinoa,DEPENDS,Context based,neutral
Dal,Banana,Broccoli,DEPENDS,Context based,neutral
Curd,Carrot,Peanut Butter,GOOD,Vitamin A absorption,absorption
Tomato,Paneer,Tomato,DEPENDS,Context based,neutral
Olive Oil,Dal,Tomato,DEPENDS,Context based,neutral
Apple,Tomato,Ghee,DEPENDS,Context based,neutral
Tomato,Quinoa,Ragi,DEPENDS,Context based,neutral
Chickpeas,Bajra,Milk,GOOD,Stable glucose,metabolic
Chicken,Sweet Potato,Almonds,GOOD,Stable glucose,metabolic
Ghee,Banana,Fish,DEPENDS,Context based,neutral
Almonds,Tomato,Almonds,DEPENDS,Context based,neutral
Chickpeas,Jowar,Spinach,GOOD,Stable glucose,metabolic
Fish,Olive Oil,Apple,DEPENDS,Context based,neutral
Rice,Apple,Orange,DEPENDS,Context based,neutral
Orange,Peanut Butter,Sweet Potato,DEPENDS,Context based,neutral
Chickpeas,Banana,Tomato,DEPENDS,Context based,neutral
Olive Oil,Almonds,Tomato,DEPENDS,Context based,neutral
Banana,Chickpeas,Dal,DEPENDS,Context based,neutral
Brown Rice,Brown Rice,Broccoli,DEPENDS,Context based,neutral
Ragi,Ragi,Egg,GOOD,Stable glucose,metabolic
Rice,Jowar,Spinach,DEPENDS,Context based,neutral
Olive Oil,Fish,Bajra,GOOD,Stable glucose,metabolic
Bajra,Milk,Rice,DEPENDS,Context based,neutral
Apple,Milk,Jowar,DEPENDS,Context based,neutral
Chicken,Chickpeas,Apple,DEPENDS,Context based,neutral
Olive Oil,Brown Rice,Quinoa,DEPENDS,Context based,neutral
Carrot,Quinoa,Fish,GOOD,Stable glucose,metabolic
Potato,Carrot,Curd,DEPENDS,Context based,neutral
Carrot,Tomato,Apple,DEPENDS,Context based,neutral
Chickpeas,Orange,Olive Oil,DEPENDS,Context based,neutral
Ghee,Chicken,Rice,GOOD,Stable glucose,metabolic
Jowar,Potato,Tomato,DEPENDS,Context based,neutral
Broccoli,Almonds,Olive Oil,DEPENDS,Context based,neutral
Sweet Potato,Curd,Dal,GOOD,Stable glucose,metabolic
Fish,Paneer,Quinoa,GOOD,Stable glucose,metabolic
Peanut Butter,Apple,Dal,DEPENDS,Context based,neutral
Bajra,Lemon,Tomato,DEPENDS,Context based,neutral
Apple,Carrot,Ghee,GOOD,Vitamin A absorption,absorption
Apple,Chicken,Ragi,GOOD,Stable glucose,metabolic
Orange,Fish,Spinach,GOOD,Iron absorption boost,absorption
Chicken,Olive Oil,Rice,GOOD,Stable glucose,metabolic
Tomato,Orange,Tomato,DEPENDS,Context based,neutral
Dal,Banana,Rice,GOOD,Stable glucose,metabolic
Peanut Butter,Paneer,Tomato,DEPENDS,Context based,neutral
Chickpeas,Milk,Orange,DEPENDS,Context based,neutral
Paneer,Spinach,Ghee,DEPENDS,Context based,neutral
Apple,Rice,Chicken,GOOD,Stable glucose,metabolic
Quinoa,Carrot,Apple,DEPENDS,Context based,neutral
Olive Oil,Chicken,Quinoa,GOOD,Stable glucose,metabolic
Orange,Apple,Orange,DEPENDS,Context based,neutral
Paneer,Paneer,Chickpeas,DEPENDS,Context based,neutral
Potato,Paneer,Apple,GOOD,Stable glucose,metabolic
Almonds,Broccoli,Ragi,DEPENDS,Context based,neutral
Ghee,Potato,Egg,GOOD,Stable glucose,metabolic
Curd,Lemon,Banana,DEPENDS,Context based,neutral
Potato,Fish,Almonds,GOOD,Stable glucose,metabolic
Tomato,Paneer,Curd,DEPENDS,Context based,neutral
Lemon,Egg,Apple,DEPENDS,Context based,neutral
Olive Oil,Paneer,Chicken,DEPENDS,Context based,neutral
Orange,Lemon,Brown Rice,DEPENDS,Context based,neutral
Ragi,Carrot,Dal,GOOD,Stable glucose,metabolic
Curd,Peanut Butter,Curd,DEPENDS,Context based,neutral
Quinoa,Spinach,Orange,GOOD,Iron absorption boost,absorption
Chickpeas,Milk,Dal,DEPENDS,Context based,neutral
Brown Rice,Apple,Dal,GOOD,Stable glucose,metabolic
Peanut Butter,Curd,Ragi,DEPENDS,Context based,neutral
Orange,Carrot,Chicken,DEPENDS,Context based,neutral
Peanut Butter,Fish,Chicken,DEPENDS,Context based,neutral
Egg,Chicken,Peanut Butter,DEPENDS,Context based,neutral
Jowar,Quinoa,Potato,DEPENDS,Context based,neutral
Ragi,Curd,Milk,DEPENDS,Context based,neutral
Paneer,Almonds,Fish,DEPENDS,Context based,neutral
Peanut Butter,Apple,Chicken,DEPENDS,Context based,neutral
Broccoli,Carrot,Apple,DEPENDS,Context based,neutral
Milk,Almonds,Ragi,DEPENDS,Context based,neutral
Ragi,Chicken,Banana,GOOD,Stable glucose,metabolic
Dal,Egg,Spinach,DEPENDS,Context based,neutral
Broccoli,Almonds,Chickpeas,DEPENDS,Context based,neutral
Tomato,Dal,Milk,DEPENDS,Context based,neutral
Banana,Sweet Potato,Sweet Potato,DEPENDS,Context based,neutral
Ragi,Carrot,Apple,DEPENDS,Context based,neutral
Curd,Egg,Milk,DEPENDS,Context based,neutral
Fish,Rice,Chickpeas,GOOD,Stable glucose,metabolic
Chickpeas,Dal,Quinoa,GOOD,Stable glucose,metabolic
Sweet Potato,Sweet Potato,Bajra,DEPENDS,Context based,neutral
Egg,Fish,Banana,DEPENDS,Context based,neutral
Almonds,Banana,Broccoli,DEPENDS,Context based,neutral
Brown Rice,Broccoli,Sweet Potato,DEPENDS,Context based,neutral
Apple,Banana,Lemon,DEPENDS,Context based,neutral
Potato,Brown Rice,Dal,GOOD,Stable glucose,metabolic
Egg,Brown Rice,Carrot,GOOD,Stable glucose,metabolic
Sweet Potato,Brown Rice,Brown Rice,DEPENDS,Context based,neutral
Banana,Brown Rice,Carrot,DEPENDS,Context based,neutral
Rice,Tomato,Milk,DEPENDS,Context based,neutral
Spinach,Tomato,Jowar,GOOD,Iron absorption boost,absorption
Brown Rice,Almonds,Potato,DEPENDS,Context based,neutral
Ghee,Chicken,Dal,DEPENDS,Context based,neutral
Orange,Jowar,Sweet Potato,DEPENDS,Context based,neutral
Broccoli,Egg,Potato,GOOD,Stable glucose,metabolic
Apple,Orange,Carrot,DEPENDS,Context based,neutral
Ragi,Ghee,Paneer,GOOD,Stable glucose,metabolic
Olive Oil,Tomato,Sweet Potato,DEPENDS,Context based,neutral
Dal,Tomato,Sweet Potato,GOOD,Stable glucose,metabolic
Peanut Butter,Curd,Potato,DEPENDS,Context based,neutral
Paneer,Rice,Quinoa,GOOD,Stable glucose,metabolic
Broccoli,Milk,Apple,DEPENDS,Context based,neutral
Dal,Carrot,Apple,DEPENDS,Context based,neutral
Brown Rice,Apple,Brown Rice,DEPENDS,Context based,neutral
Dal,Peanut Butter,Potato,GOOD,Stable glucose,metabolic
Potato,Fish,Chickpeas,GOOD,Stable glucose,metabolic
Broccoli,Quinoa,Ghee,DEPENDS,Context based,neutral
Milk,Carrot,Apple,DEPENDS,Context based,neutral
Ghee,Ragi,Broccoli,DEPENDS,Context based,neutral
Peanut Butter,Rice,Ragi,DEPENDS,Context based,neutral
Brown Rice,Peanut Butter,Chickpeas,GOOD,Stable glucose,metabolic
Egg,Carrot,Lemon,DEPENDS,Context based,neutral
Ragi,Banana,Almonds,BAD,Heavy digestion + sugar spike,metabolic
Quinoa,Milk,Apple,DEPENDS,Context based,neutral
Curd,Curd,Chicken,DEPENDS,Context based,neutral
Fish,Brown Rice,Fish,GOOD,Stable glucose,metabolic
Almonds,Broccoli,Orange,DEPENDS,Context based,neutral
Ghee,Fish,Almonds,DEPENDS,Context based,neutral
Peanut Butter,Lemon,Chickpeas,DEPENDS,Context based,neutral
Apple,Olive Oil,Fish,DEPENDS,Context based,neutral
Tomato,Brown Rice,Chickpeas,GOOD,Stable glucose,metabolic
Carrot,Orange,Curd,DEPENDS,Context based,neutral
Quinoa,Tomato,Egg,GOOD,Stable glucose,metabolic
Brown Rice,Dal,Dal,GOOD,Stable glucose,metabolic
Paneer,Jowar,Carrot,GOOD,Stable glucose,metabolic
Brown Rice,Milk,Fish,GOOD,Stable glucose,metabolic
Chickpeas,Chicken,Broccoli,DEPENDS,Context based,neutral
Bajra,Curd,Apple,DEPENDS,Context based,neutral
Brown Rice,Bajra,Egg,GOOD,Stable glucose,metabolic
Ghee,Carrot,Peanut Butter,GOOD,Vitamin A absorption,absorption
Orange,Orange,Olive Oil,DEPENDS,Context based,neutral
Peanut Butter,Egg,Fish,DEPENDS,Context based,neutral
Dal,Dal,Milk,DEPENDS,Context based,neutral
Fish,Ragi,Dal,GOOD,Stable glucose,metabolic
Paneer,Rice,Sweet Potato,GOOD,Stable glucose,metabolic
Spinach,Bajra,Ragi,DEPENDS,Context based,neutral
Egg,Egg,Egg,DEPENDS,Context based,neutral
Brown Rice,Tomato,Carrot,DEPENDS,Context based,neutral
Spinach,Curd,Paneer,BAD,Calcium blocks iron,absorption
Apple,Tomato,Sweet Potato,DEPENDS,Context based,neutral
Peanut Butter,Lemon,Orange,DEPENDS,Context based,neutral
Tomato,Brown Rice,Egg,GOOD,Stable glucose,metabolic
Potato,Dal,Peanut Butter,GOOD,Stable glucose,metabolic
Chickpeas,Olive Oil,Brown Rice,GOOD,Stable glucose,metabolic
Broccoli,Rice,Orange,DEPENDS,Context based,neutral
Broccoli,Fish,Sweet Potato,GOOD,Stable glucose,metabolic
Dal,Egg,Curd,DEPENDS,Context based,neutral
Milk,Rice,Apple,DEPENDS,Context based,neutral
Ragi,Tomato,Sweet Potato,DEPENDS,Context based,neutral
Curd,Curd,Ghee,DEPENDS,Context based,neutral
Ragi,Spinach,Lemon,GOOD,Iron absorption boost,absorption
Tomato,Ghee,Jowar,DEPENDS,Context based,neutral
Egg,Ghee,Egg,DEPENDS,Context based,neutral
Banana,Egg,Chicken,DEPENDS,Context based,neutral
Chicken,Chicken,Bajra,GOOD,Stable glucose,metabolic
Carrot,Peanut Butter,Olive Oil,GOOD,Vitamin A absorption,absorption
Fish,Curd,Lemon,DEPENDS,Context based,neutral
Chicken,Lemon,Jowar,GOOD,Stable glucose,metabolic
Quinoa,Almonds,Peanut Butter,DEPENDS,Context based,neutral
Bajra,Ragi,Olive Oil,DEPENDS,Context based,neutral
Ghee,Spinach,Lemon,GOOD,Iron absorption boost,absorption
Brown Rice,Sweet Potato,Tomato,DEPENDS,Context based,neutral
Tomato,Chicken,Milk,DEPENDS,Context based,neutral
Fish,Spinach,Fish,DEPENDS,Context based,neutral
Jowar,Rice,Dal,GOOD,Stable glucose,metabolic
Bajra,Chickpeas,Jowar,GOOD,Stable glucose,metabolic
Sweet Potato,Dal,Almonds,GOOD,Stable glucose,metabolic
Chickpeas,Potato,Potato,GOOD,Stable glucose,metabolic
Apple,Egg,Carrot,DEPENDS,Context based,neutral
Carrot,Fish,Chicken,DEPENDS,Context based,neutral
Chicken,Peanut Butter,Apple,DEPENDS,Context based,neutral
Quinoa,Apple,Fish,GOOD,Stable glucose,metabolic
Potato,Almonds,Sweet Potato,DEPENDS,Context based,neutral
Quinoa,Curd,Milk,DEPENDS,Context based,neutral
Jowar,Broccoli,Ghee,DEPENDS,Context based,neutral
Broccoli,Orange,Broccoli,DEPENDS,Context based,neutral
Broccoli,Almonds,Peanut Butter,DEPENDS,Context based,neutral
Milk,Tomato,Apple,DEPENDS,Context based,neutral
Brown Rice,Quinoa,Chickpeas,GOOD,Stable glucose,metabolic
Lemon,Spinach,Paneer,GOOD,Iron absorption boost,absorption
Chickpeas,Sweet Potato,Milk,GOOD,Stable glucose,metabolic
Peanut Butter,Spinach,Sweet Potato,DEPENDS,Context based,neutral
Lemon,Carrot,Potato,DEPENDS,Context based,neutral
Banana,Potato,Banana,DEPENDS,Context based,neutral
Lemon,Ghee,Ragi,DEPENDS,Context based,neutral
Milk,Egg,Dal,DEPENDS,Context based,neutral
Chickpeas,Chicken,Banana,DEPENDS,Context based,neutral
Bajra,Spinach,Fish,GOOD,Stable glucose,metabolic
Lemon,Chickpeas,Olive Oil,DEPENDS,Context based,neutral
Tomato,Brown Rice,Jowar,DEPENDS,Context based,neutral
Paneer,Ragi,Olive Oil,GOOD,Stable glucose,metabolic
Rice,Fish,Ragi,GOOD,Stable glucose,metabolic
Ragi,Chickpeas,Quinoa,GOOD,Stable glucose,metabolic
Ghee,Tomato,Banana,DEPENDS,Context based,neutral
Spinach,Carrot,Broccoli,DEPENDS,Context based,neutral
Brown Rice,Banana,Potato,DEPENDS,Context based,neutral
Dal,Ghee,Rice,GOOD,Stable glucose,metabolic
Orange,Chickpeas,Potato,GOOD,Stable glucose,metabolic
Potato,Curd,Almonds,DEPENDS,Context based,neutral
Ragi,Rice,Brown Rice,DEPENDS,Context based,neutral
Tomato,Quinoa,Bajra,DEPENDS,Context based,neutral
Curd,Sweet Potato,Banana,DEPENDS,Context based,neutral
Curd,Brown Rice,Chickpeas,GOOD,Stable glucose,metabolic
Broccoli,Almonds,Chicken,DEPENDS,Context based,neutral
Potato,Chicken,Lemon,GOOD,Stable glucose,metabolic
Almonds,Olive Oil,Jowar,DEPENDS,Context based,neutral
Dal,Milk,Orange,DEPENDS,Context based,neutral
Fish,Sweet Potato,Curd,GOOD,Stable glucose,metabolic
Ragi,Curd,Ghee,DEPENDS,Context based,neutral
Olive Oil,Apple,Ghee,DEPENDS,Context based,neutral
Chickpeas,Potato,Broccoli,GOOD,Stable glucose,metabolic
Carrot,Tomato,Carrot,DEPENDS,Context based,neutral
Tomato,Spinach,Chickpeas,GOOD,Iron absorption boost,absorption
Sweet Potato,Milk,Dal,GOOD,Stable glucose,metabolic
Tomato,Lemon,Ghee,DEPENDS,Context based,neutral
Almonds,Broccoli,Spinach,DEPENDS,Context based,neutral
Peanut Butter,Jowar,Milk,DEPENDS,Context based,neutral
